	lig	adj_sint
ackompanjera	akkompagnere	vblex
ackordera	akkordere	vblex
ackreditera	akkreditere	vblex
ackumulera	akkumulere	vblex
adaptera	adaptere	vblex
addera	addere	vblex
adla	adle	vblex
administrera	administrere	vblex
adoptera	adoptere	vblex
adressera	adressere	vblex
agera	agere	vblex
agglutinera	agglutinere	vblex
agitera	agitere	vblex
ajournera	utsette	vblex
akta	akte	vblex
aktivera	aktivere	vblex
aktualisera	aktualisere	vblex
alarmera	alarmere	vblex
alfabetisera	alfabetisere	vblex
alienera	fremmedgjøre	vblex
alienera	fremmendgjøre	vblex
alliera	alliere	vblex
allitterera	allitterere	vblex
allmänbilda	allmennutdanne	vblex
allokera	allokere	vblex
alludera	alludere	vblex
alstra	generere	vblex
alternera	alternere	vblex
amma	amme	vblex
amortera	amortere	vblex
amortera	amortisere	vblex
amputera	amputere	vblex
ana	ane	vblex
analysera	analysere	vblex
anamma	annamme	vblex
anamma	omfavne	vblex
anbefalla	anbefale	vblex
anbelanga	angå	vblex_no-adjpp-pasv
anbringa	anbringe	vblex
andas	puste	vblex_pasv
andra	framføre	vblex
andra	fremføre	vblex
anfalla	angripe	vblex
anfräta	angripe	vblex
anföra	anføre	vblex
anförtro	betro	vblex
ange	angi	vblex
angripa	angripe	vblex
angå	angå	vblex_no-adjpp-pasv
anhopa	akkumulere	vblex
anhopa	hauge	vblex
anhopa	hope	vblex
anhålla	arrestere	vblex
animera	animere	vblex
animera	oppmuntre	vblex
anklaga	anklage	vblex
anknyta	tilknytte	vblex
ankomma	ankomme	vblex
ankra	ankre	vblex
anlita	anvende	vblex
anlita	engasjere	vblex
anlita	stole	vblex
anlägga	anlegge	vblex
anlända	ankomme	vblex
anlöpa	anløpe	vblex
anmana	oppfordre	vblex
anmoda	anmode	vblex
anmäla	anmelde	vblex
anmäla	påmelde	vblex
anmärka	anmerke	vblex_no-adjpp-pasv
annektera	annektere	vblex
annonsera	annonsere	vblex
annullera	annullere	vblex
anodisera	anodisere	vblex
anonymisera	anonymisere	vblex
anordna	arrangere	vblex
anordna	fli	vblex
anordna	make	vblex
anordna	ordne	vblex
anordna	stelle	vblex
anpassa	jenke	vblex
anpassa	tilpasse	vblex
anrika	anrike	vblex
anropa	anrope	vblex
anropa	ringe	vblex
anrätta	anrette	vblex
anse	anse	vblex
anse	anse	vblex
anskaffa	anskaffe	vblex
ansluta	delta	vblex
ansluta	tilslutte	vblex
anslå	anslå	vblex
anstränga	anstrenge	vblex
anställa	ansette	vblex
ansätta	angripe	vblex
ansöka	ansøke	vblex
anta	anta	vblex
anteckna	notere	vblex
anträda	starte	vblex
anträffa	finne	vblex
antyda	antyde	vblex
antända	antenne	vblex
anvisa	anvise	vblex
använda	anvende	vblex
använda	bruke	vblex
använda	bruke	vblex
apostrofera	apostrofere	vblex
appellera	appellere	vblex
applicera	applisere	vblex
applådera	applaudere	vblex
apportera	apportere	vblex
aptera	aptere	vblex
arbeta	arbeide	vblex
arbeta	jobbe	vblex
argumentera	argumentere	vblex
arkebusera	arkebusere	vblex
arkivera	arkivere	vblex
armera	armere	vblex
arrangera	arrangere	vblex
arrendera	forpakte	vblex
arrendera	pakte	vblex
arrestera	arrestere	vblex
artikulera	artikulere	vblex
asa	gli	vblex_no-adjpp-pasv
asa	glide	vblex_no-adjpp-pasv
asfaltera	asfaltere	vblex
aspirera	aspirere	vblex
assimilera	assimilere	vblex
assistera	assistere	vblex
assistera	hjelpe	vblex
associera	assosiere	vblex
attackera	angripe	vblex
attackera	attakkere	vblex
attestera	attestere	vblex
attrahera	attrahere	vblex
auktionera	auksjonere	vblex
auktorisera	autorisere	vblex
auktorisera	godkjenne	vblex
automatisera	automatisere	vblex
avancera	avansere	vblex
avancera	fremme	vblex
avbeställa	avbestille	vblex
avbetala	avbetale	vblex
avbilda	avbilde	vblex
avblåsa	avblåse	vblex
avboka	avbooke	vblex
avbryta	avbryte	vblex
avbryta	stoppe	vblex
avdela	avdele	vblex
avdramatisera	avdramatisere	vblex
avdunsta	evaporere	vblex
avdunsta	fordampe	vblex
avdunsta	fordunste	vblex
avfatta	utforme	vblex
avfyra	avfyre	vblex
avfärda	avvise	vblex
avföra	avføre	vblex
avgiftsbelägga	avgiftsbelegge	vblex
avgränsa	avgrense	vblex
avguda	avgude	vblex
avguda	forgude	vblex
avgå	avgå	vblex
avgöra	avgjøre	vblex
avhandla	akkedere	vblex
avhandla	forhandle	vblex
avhjälpa	avhjelpe	vblex
avhumanisera	umenneskeliggjøre	vblex
avhända	avhende	vblex_no-adjpp-pasv
avhålla	avstå	vblex
avisera	annonsere	vblex
avisera	informere	vblex
avisera	underrette	vblex
avjämna	utjevne	vblex
avklara	avklare	vblex
avklä	avkle	vblex
avkolonisera	avkolonisere	vblex
avkorta	avkorte	vblex
avkriminalisera	avkriminalisere	vblex
avkunna	kunngjøre	vblex
avkunna	levere	vblex
avla	ale	vblex
avla	avle	vblex
avlasta	avlaste	vblex
avleda	avlede	vblex
avliva	avlive	vblex
avlossa	løsne	vblex
avlossa	løyse	vblex
avlyssna	avlytte	vblex
avlägga	avlegge	vblex
avlämna	avlevere	vblex
avläsa	avlese	vblex
avlåta	overdra	vblex
avlöna	gasjere	vblex
avlöna	lønne	vblex
avlösa	avløse	vblex
avmystifiera	avmystifisere	vblex
avpassa	jenke	vblex
avpassa	justere	vblex
avpassa	måte	vblex
avpassa	tilpasse	vblex
avpolitisera	avpolitisere	vblex
avpollettera	hjemsende	vblex
avpollettera	sende	vblex
avreagera	avreagere	vblex
avregistrera	avregistrere	vblex
avreglera	deregulere	vblex
avresa	avreise	vblex
avrunda	avrunde	vblex
avräkna	avregne	vblex
avrätta	avrette	vblex
avrätta	drepe	vblex
avrätta	utføre	vblex
avråda	avråde	vblex
avråda	frarå	vblex
avse	avse	vblex
avse	ha	vblex
avse	mene	vblex
avse	sikte	vblex
avskaffa	avskaffe	vblex
avskilja	adskille	vblex
avskräcka	avskrekke	vblex
avsky	avsky	vblex
avskära	avskjære	vblex
avskärma	avskjerme	vblex
avsluta	avslutte	vblex
avsluta	ende	vblex
avsluta	slutte	vblex
avslå	avslå	vblex
avslöja	avsløre	vblex
avslöja	røpe	vblex
avspegla	avspeile	vblex
avspisa	avspise	vblex
avspärra	avsperre	vblex
avstanna	hevle	vblex
avstanna	stane	vblex
avstanna	stanse	vblex
avstanna	stoppe	vblex
avstyra	avverge	vblex
avstyra	forebygge	vblex
avstyra	forhindre	vblex
avstyrka	avvise	vblex
avstyrka	forkaste	vblex
avstämma	avstemme	vblex
avstänga	avstenge	vblex
avstå	avstå	vblex_no-adjpp-pasv
avsyna	syne	vblex
avsäga	avsi	vblex
avsända	avsende	vblex
avsätta	avsette	vblex
avta	avta	vblex
avtala	avtale	vblex
avteckna	avtegne	vblex
avtjäna	avtjene	vblex
avtrappa	avtrappe	vblex
avtrubba	sløve	vblex
avtåga	forlate	vblex
avundas	avunde	vblex_pasv
avundas	misunne	vblex_pasv
avveckla	avvikle	vblex
avverka	avslutte	vblex
avverka	høste	vblex
avvika	avvike	vblex
avvisa	avvise	vblex
avväga	balansere	vblex
avväpna	avvæpne	vblex
avvärja	avverje	vblex
avyttra	selge	vblex
aväta	spise	vblex
axla	aksle	vblex
axla	overta	vblex
babbla	glafse	vblex_no-adjpp-pasv
babbla	plapre	vblex_no-adjpp-pasv
backa	bakke	vblex
backa	rygge	vblex
bada	bade	vblex
badda	fukte	vblex
bagatellisera	bagatellisere	vblex
baka	bake	vblex
bakbinda	bakbinde	vblex
baktala	baksnakke	vblex
baktala	baktale	vblex
balansera	balansere	vblex
banalisera	banalisere	vblex
banka	banke	vblex
bannlysa	bannlyse	vblex
bannlysa	bannsette	vblex
bannlysa	forvise	vblex
banta	slanke	vblex
barra	tape	vblex
barrikadera	barrikadere	vblex
basera	basere	vblex
baxa	bakse	vblex
baxa	kakse	vblex
baxa	kave	vblex
baxa	kjave	vblex
be	be	vblex
be	bede	vblex
beakta	betrakte	vblex
beakta	forvente	vblex
bearbeta	bearbeide	vblex
bebo	bebo	vblex
bebygga	bebygge	vblex
bedra	bedra	vblex
bedyra	forsikre	vblex
bedöma	bedømme	vblex
bedöva	anestesere	vblex
bedöva	bedøve	vblex
befalla	befale	vblex
befara	befare	vblex
befara	frykte	vblex
befinna	befinne	vblex
befläcka	tilsmusse	vblex
befolka	befolke	vblex
befolka	folke	vblex
befolka	folkesette	vblex
befordra	forfremme	vblex
befria	befri	vblex
befria	frigi	vblex
befria	frita	vblex
befria	løslate	vblex
befrukta	befrukte	vblex
befrukta	gjødsle	vblex
befrämja	fremme	vblex
befästa	befeste	vblex
befästa	konsolidere	vblex
begabba	spotte	vblex
begagna	bruke	vblex
begapa	gape	vblex
begrava	begrave	vblex
begrava	gravlegge	vblex
begripa	begripe	vblex
begripa	fatte	vblex
begripa	skjønne	vblex
begrunda	begrunne	vblex
begränsa	begrense	vblex
begråta	sørge	vblex
begynna	begynne	vblex_no-adjpp-pasv
begynna	starte	vblex_no-adjpp-pasv
begära	begjære	vblex
begära	søke	vblex
begå	begå	vblex
behaga	behage	vblex_no-adjpp-pasv
behandla	behandle	vblex
behärska	beherske	vblex
behärska	mestre	vblex
behålla	beholde	vblex
behöva	behøve	vblex
behöva	trenge	vblex
behöva	turve	vblex
bejaka	bekrefte	vblex
beklaga	beklage	vblex
beklä	ekvipere	vblex
bekomma	berøre	vblex_no-adjpp-pasv
bekomma	håndfare	vblex_no-adjpp-pasv
bekomma	tøtsje	vblex_no-adjpp-pasv
bekosta	bekoste	vblex
bekosta	påkoste	vblex
bekräfta	bekrefte	vblex
bekräfta	parafere	vblex
bekymra	bekymre	vblex
bekämpa	bekjempe	vblex
bekänna	bekjenne	vblex
bekänna	tilstå	vblex
belasta	belaste	vblex
belysa	belyse	vblex
belysa	formidle	vblex
belysa	opplyse	vblex
belägga	belegge	vblex
belägra	beleire	vblex
belåna	belåne	vblex
belöna	belønne	vblex
bemanna	bemanne	vblex
bemyndiga	godkjenne	vblex
bemärka	bemerke	vblex
bemärka	notere	vblex
bemästra	beherske	vblex
bemästra	mestre	vblex
bemöta	imøtegå	vblex
bemöta	reagere	vblex
benämna	benevne	vblex
benämna	kalle	vblex
benåda	benåde	vblex
beordra	beordre	vblex
beordra	bestille	vblex
bepansra	pansre	vblex
bepröva	undersøke	vblex
bereda	forberede	vblex
berika	anrike	vblex
berika	berike	vblex
bero	avhenge	vblex
berusa	beruse	vblex
beräkna	beregne	vblex
beräkna	berekne	vblex
beräkna	regne	vblex
berätta	argumentere	vblex
berätta	fortelle	vblex
berömma	fossro	vblex
berömma	prise	vblex
berömma	ro	vblex
beröra	berøre	vblex
beröra	håndfare	vblex
beröra	tøtsje	vblex
beröva	berøve	vblex
bese	bese	vblex
besegla	forsegle	vblex
besegra	beseire	vblex
besiktiga	inspisere	vblex
besinna	tenke	vblex
besitta	besitte	vblex
besjäla	besjele	vblex
beskatta	beskatte	vblex
beskatta	skattlegge	vblex
beskriva	beskrive	vblex
beskydda	beskytte	vblex
beskylla	anklage	vblex
beskylla	beskylde	vblex
beskära	beskjære	vblex
beskåda	beskue	vblex
besluta	beslutte	vblex
beslå	beslå	vblex
bespeja	observere	vblex
bespisa	bespise	vblex
bespruta	sprøyte	vblex
besticka	bestikke	vblex
besticka	mute	vblex
bestiga	bestige	vblex
bestraffa	straffe	vblex
bestrida	bestride	vblex
bestråla	bestråle	vblex
bestycka	bestykke	vblex
bestyra	bestyre	vblex
beställa	bestille	vblex
bestämma	bestemme	vblex
bestämma	bestemme	vblex
bestå	bestå	vblex_no-adjpp-pasv
bestå	eksistere	vblex_no-adjpp-pasv
besudla	besudle	vblex
besvara	besvare	vblex
besvara	svare	vblex
besvärja	bekymre	vblex
besätta	besette	vblex
besöka	besøke	vblex
besöka	besøke	vblex
besöka	vitje	vblex
beta¹	beite	vblex
beta²	fascinere	vblex
beta²	havne	vblex
betala	betale	vblex
betala	erlegge	vblex
beteckna	beskrive	vblex
beteckna	betegne	vblex
betjäna	betjene	vblex
betona	betone	vblex
betona	understreke	vblex
betrakta	betrakte	vblex
betro	betro	vblex
betrycka	nedstemme	vblex
beträda	betre	vblex
beträffa	angå	vblex
betsa	beise	vblex
betvivla	betvile	vblex
betvivla	tvile	vblex
betyda	bety	vblex
betäcka	bedekke	vblex
betänka	betenke	vblex
betänka	områ	vblex
betänka	vurdere	vblex
beundra	beundre	vblex
bevaka	overvåke	vblex
bevara	bevare	vblex
bevara	lagre	vblex
bevara	oppbevare	vblex
bevattna	dusje	vblex
bevattna	vande	vblex
bevattna	vatne	vblex
beveka	bevege	vblex
beveka	lee	vblex
beveka	rikke	vblex
bevilja	bevilge	vblex
bevilja	fordele	vblex
bevisa	bevise	vblex
bevisa	prove	vblex
bevittna	vitne	vblex
bevärdiga	verdige	vblex
bibehålla	beholde	vblex
bibehålla	vedlikeholde	vblex
bida	bie	vblex
bida	vente	vblex
bidra	bidra	vblex
bifalla	bifalle	vblex
bifoga	tilføye	vblex
bifoga	vedlegge	vblex
bilda	danne	vblex
bilägga	bilegge	vblex
bilägga	legge	vblex
binda	bende	vblex
binda	binde	vblex
bisätta	bisette	vblex
bita	beise	vblex
bita	bite	vblex
bita	straffe	vblex
biträda	hjelpe	vblex
bjuda	innby	vblex
bjuda	invitere	vblex
bjuda	tilby	vblex
bjuda	by	vblex
bjäbba	glafse	vblex_no-adjpp-pasv
bjäbba	plapre	vblex_no-adjpp-pasv
bladdra	glafse	vblex_no-adjpp-pasv
bladdra	plapre	vblex_no-adjpp-pasv
blaja	vase	vblex_no-adjpp-pasv
blaja	vrøvle	vblex_no-adjpp-pasv
blanda	blande	vblex
blanda	stokke	vblex
blanka	pusse	vblex
blekna	blekne	vblex
bli_kvar	forbli	vblex_no-pasv
bli	skje	vblex_no-adjpp-pasv
blicka	se	vblex_no-adjpp-pasv
blidka	berolige	vblex
blidka	roe	vblex
blidka	tilfredsstille	vblex
bliga	titte	vblex_no-adjpp-pasv
blinka	blinke	vblex_no-adjpp-pasv
blinka	blunke	vblex_no-adjpp-pasv
blinka	glire	vblex_no-adjpp-pasv
blixtra	lyne	vblex_no-adjpp-pasv
blixtra	skinne	vblex_no-adjpp-pasv
blockera	blokkere	vblex
blogga	blogge	vblex
blogga	bløgge	vblex
blomma	blomstre	vblex_no-adjpp-pasv
blomstra	blomstre	vblex_no-adjpp-pasv
blondera	blondere	vblex
blossa	blusse	vblex_no-adjpp-pasv
blossa	skinne	vblex_no-adjpp-pasv
blotta	blotte	vblex
blotta	blottstille	vblex
blottlägga	avdekke	vblex
blottlägga	blottlegge	vblex
blottställa	blottstille	vblex_no-adjpp-pasv
bluffa	bløffe	vblex
blunda	blunde	vblex_no-adjpp-pasv
blunda	døse	vblex_no-adjpp-pasv
bläddra	bla	vblex
blända	blende	vblex
blända	blinde	vblex
blänga	gape	vblex_no-adjpp-pasv
blänga	glo	vblex_no-adjpp-pasv
blänka	blinke	vblex_no-adjpp-pasv
blänka	blunke	vblex_no-adjpp-pasv
blänka	glire	vblex_no-adjpp-pasv
blästra	blåse	vblex
blästra	gufse	vblex
blåna	blåne	vblex_no-adjpp-pasv
blåsa	blåse	vblex
blåsa	blære	vblex
blåsa	briske	vblex
blåsa	gufse	vblex
blöda	blø	vblex
blöda	bløde	vblex
blöta	blø	vblex
blöta	bløde	vblex
blöta	bløte	vblex
bo	bo	vblex
bocka	bukke	vblex
bogsera	buksere	vblex
bojkotta	boikotte	vblex
boka	booke	vblex
bokföra	bokføre	vblex
bokstavera	bokstavere	vblex
bolla	sprette	vblex
bolma	dabbe	vblex_no-adjpp-pasv
bolma	dampe	vblex_no-adjpp-pasv
bolma	gove	vblex_no-adjpp-pasv
bomba	bombe	vblex
bombardera	bombardere	vblex
bomma	kikse	vblex
bona	bone	vblex
boota	la	vblex
boota	late	vblex
borda	borde	vblex
bordlägga	henlegge	vblex
borga	garantere	vblex
borga	kavere	vblex
borra	bore	vblex
borsta	børste	vblex
bortföra	bortføre	vblex
bortförklara	bortforklare	vblex_no-adjpp-pasv
bortgå	forsvinne	vblex_no-adjpp-pasv
bortresonera	bortforklare	vblex
bortse	bortse	vblex
bortskaffa	avhende	vblex
bortta	fjerne	vblex
bota	helbrede	vblex
botanisera	botanisere	vblex_no-adjpp-pasv
bottna	botne	vblex_no-adjpp-pasv
bowla	bowle	vblex_no-adjpp-pasv
boxas	bokse	vblex_pasv
braka	brake	vblex_no-adjpp-pasv
braska	fryse	vblex_no-adjpp-pasv
braska	klakke	vblex_no-adjpp-pasv
braska	tele	vblex_no-adjpp-pasv
bravera	kyte	vblex_no-adjpp-pasv
bravera	prale	vblex_no-adjpp-pasv
bre	bre	vblex
bre	breie	vblex
bre	spre	vblex
bredda	utvide	vblex
brevväxla	brevveksle	vblex
briefa	brife	vblex
briljera	briljere	vblex_no-adjpp-pasv
briljera	skinne	vblex_no-adjpp-pasv
bringa	bringe	vblex
brinna	brenne	vblex
brinna	loge	vblex
brisera	eksplodere	vblex
brista	briste	vblex
brodera	brodere	vblex
brodera	brosjere	vblex
brolägga	brolegge	vblex
brolägga	brulegge	vblex
bromsa	bremse	vblex
bruka	bruke	vblex
bruka	pleie	vblex
brumma	brumle	vblex_no-adjpp-pasv
brumma	brumme	vblex_no-adjpp-pasv
brumma	knurre	vblex_no-adjpp-pasv
brumma	ryte	vblex_no-adjpp-pasv
brusa	bruse	vblex_no-adjpp-pasv
brusa	marme	vblex_no-adjpp-pasv
brutalisera	brutalisere	vblex
bry	bry	vblex
brygga	brygge	vblex
bryna	brune	vblex
bryna	bryne	vblex
bryta	bryte	vblex
bräcka	brekke	vblex
bräcka	bryte	vblex
bräda	utkonkurrere	vblex
bränna	brenne	vblex
bränna	loge	vblex
bränna	lue	vblex
brännmärka	brennemerke	vblex
brännmärka	svimerke	vblex
brådska	skynde	vblex_no-adjpp-pasv
bråka	bråke	vblex
bröla	belje	vblex_no-adjpp-pasv
bröla	bruse	vblex_no-adjpp-pasv
bröla	brøle	vblex_no-adjpp-pasv
bröla	raute	vblex_no-adjpp-pasv
brösta	bryste	vblex_no-adjpp-pasv
brösta	skryte	vblex_no-adjpp-pasv
bua	bue	vblex_no-adjpp-pasv
bubbla	boble	vblex_no-adjpp-pasv
budgetera	budsjettere	vblex
buffa	knubbe	vblex
buffa	knuvle	vblex
buffa	puffe	vblex
buga	bukke	vblex_no-adjpp-pasv
bugga	danse	vblex_no-adjpp-pasv
buklanda	buklande	vblex
bukta	bukte	vblex_no-adjpp-pasv
bullra	buldre	vblex_no-adjpp-pasv
bulna	bulne	vblex_no-adjpp-pasv
bunkra	bunkre	vblex
bunta	bunte	vblex
bunta	kjerve	vblex
bunta	knippe	vblex
bussa	busse	vblex
busvissla	plystre	vblex
bygga	bygge	vblex
bylta_ihop	bylte	vblex
byråkratisera	byråkratisere	vblex
byta	bytte	vblex
byta	kingse	vblex
byta	skifte	vblex
byta_ut	skifte	vblex
bädda	re	vblex
bädda	rede	vblex
bära	bære	vblex
bärga	berge	vblex
bättra	bedre	vblex
bättra	besne	vblex
bättra	forbedre	vblex
båga	juge	vblex_no-adjpp-pasv
båga	ljuge	vblex_no-adjpp-pasv
båga	lyge	vblex_no-adjpp-pasv
båga	lyve	vblex_no-adjpp-pasv
bågna	bogne	vblex
böja	bøye	vblex
böka	fikle	vblex_no-adjpp-pasv
böka	pote	vblex_no-adjpp-pasv
böka	rote	vblex_no-adjpp-pasv
böka	urydde	vblex_no-adjpp-pasv
böla	tute	vblex_no-adjpp-pasv
bölja	bølge	vblex_no-adjpp-pasv
bönfalla	bønnfalle	vblex
bönhöra	bønnhøre	vblex
börja	begynne	vblex
börja	starte	vblex
börsnotera	børsnotere	vblex
böta	bøte	vblex
campa	campe	vblex_no-adjpp-pasv
campa	kampere	vblex_no-adjpp-pasv
campa	telte	vblex_no-adjpp-pasv
cementera	sementere	vblex
censurera	sensurere	vblex
centra	sentre	vblex
centralisera	sentralisere	vblex
centrera	fokusere	vblex
centrera	sentrere	vblex
certifiera	sertifisere	vblex
changera	fornedre	vblex_no-adjpp-pasv
changera	forringe	vblex_no-adjpp-pasv
chansa	sjanse	vblex_no-adjpp-pasv
chansera	fornedre	vblex_no-adjpp-pasv
chansera	forringe	vblex_no-adjpp-pasv
charma	charmantisere	vblex
charma	charmere	vblex
charma	sjarmantisere	vblex
charma	sjarmere	vblex
charmera	charmantisere	vblex
charmera	charmere	vblex
charmera	sjarmantisere	vblex
charmera	sjarmere	vblex
chartra	chartre	vblex
chatta	chatte	vblex_no-adjpp-pasv
checka	se	vblex
chikanera	sjikanere	vblex
chikanera	trakassere	vblex
chocka	sjokkere	vblex
chockera	forarge	vblex
chockera	sjokkere	vblex
cirkla	sirkle	vblex_no-adjpp-pasv
cirkulera	rullere	vblex
cirkulera	sirkulere	vblex
ciselera	siselere	vblex
citera	hitsette	vblex
citera	sitere	vblex
civilisera	sivilisere	vblex
crawla	crawle	vblex_no-adjpp-pasv
crawla	kråle	vblex_no-adjpp-pasv
cykla	sykle	vblex
dagas	dage	vblex_pasv
dagdrömma	dagdrømme	vblex_no-adjpp-pasv
dala	dale	vblex_no-adjpp-pasv
dallra	darre	vblex_no-adjpp-pasv
dallra	dirre	vblex_no-adjpp-pasv
dallra	disse	vblex_no-adjpp-pasv
damma	duste	vblex
damma	støve	vblex
dammsuga	støvsuge	vblex
dana	danne	vblex
dangla	dangle	vblex_no-adjpp-pasv
dangla	dingle	vblex_no-adjpp-pasv
dansa	danse	vblex_no-adjpp-pasv
darra	darre	vblex_no-adjpp-pasv
darra	dirre	vblex_no-adjpp-pasv
darra	disse	vblex_no-adjpp-pasv
darra	skjelve	vblex_no-adjpp-pasv
datera	datere	vblex
datorisera	digitalisere	vblex
debattera	debattere	vblex
debitera	debitere	vblex
debutera	debutere	vblex_no-adjpp-pasv
decentralisera	desentralisere	vblex
decimera	desimere	vblex
dedicera	dedisere	vblex
deducera	dedusere	vblex
defilera	defilere	vblex
definiera	definere	vblex
deformera	deformere	vblex
degenerera	degenerere	vblex
degradera	degradere	vblex
degradera	nedgradere	vblex
dekantera	dekantere	vblex
deklamera	deklamere	vblex
deklarera	deklarere	vblex
deklarera	erklære	vblex
deklarera	fortolle	vblex
deklassera	deklassere	vblex
deklinera	deklinere	vblex
dekorera	dekorere	vblex
dekorera	staffere	vblex
dela	dele	vblex
dela	kleppe	vblex
dela	skifte	vblex
dela_ut	distribuere	vblex
dela_ut	utdele	vblex
delegera	delegere	vblex
delfinansiera	delfinansiere	vblex
delta	delta	vblex
deltidsarbeta	deltidsarbeide	vblex_no-adjpp-pasv
demaskera	demaskere	vblex
dementera	dementere	vblex
demilitarisera	demilitarisere	vblex
demobilisera	demobilisere	vblex
demokratisera	demokratisere	vblex
demolera	demolere	vblex
demonisera	demonisere	vblex
demonstrera	demonstrere	vblex
demontera	demontere	vblex
demoralisera	demoralisere	vblex
denaturera	denaturere	vblex
denotera	denotere	vblex
denudera	blottlegge	vblex
deponera	deponere	vblex
deportera	deportere	vblex
desarmera	desarmere	vblex
desavouera	tilbakevise	vblex
desertera	desertere	vblex_no-adjpp-pasv
designa	designe	vblex
designa	utforme	vblex
desinfektera	desinfisere	vblex
desinficera	desinfisere	vblex
desinformera	desinformere	vblex
destillera	destillere	vblex
destruera	destruere	vblex
detaljreglera	detaljregulere	vblex
detaljstyra	detaljstyre	vblex
determinera	determinere	vblex
detonera	detonere	vblex
detronisera	detronisere	vblex
devalvera	devaluere	vblex
diagnosticera	diagnostisere	vblex
diagnostisera	diagnostisere	vblex
diarieföra	journalføre	vblex
diarieföra	journalisere	vblex
differentiera	differensiere	vblex
diftongera	diftongere	vblex
digna	segne	vblex_no-adjpp-pasv
dika	drene	vblex
dika	drenere	vblex
dikta	dikte	vblex
diktera	diktere	vblex
dilla	vase	vblex_no-adjpp-pasv
dilla	vrøvle	vblex_no-adjpp-pasv
dimensionera	dimensjonere	vblex
dimpa	dumpe	vblex_no-adjpp-pasv
dinera	dinere	vblex_no-adjpp-pasv
dingla	dangle	vblex_no-adjpp-pasv
dingla	dingle	vblex_no-adjpp-pasv
direktsända	direktesende	vblex
dirigera	dirigere	vblex
dirra	darre	vblex_no-adjpp-pasv
dirra	dirre	vblex_no-adjpp-pasv
dirra	disse	vblex_no-adjpp-pasv
disciplinera	disiplinere	vblex
diska	diske	vblex
diska	vaske	vblex
diskontera	diskontere	vblex
diskreditera	diskreditere	vblex
diskriminera	diskriminere	vblex
diskutera	diskutere	vblex
diskvalificera	diskvalifisere	vblex
disponera	disponere	vblex
dissekera	dissekere	vblex
dissimilera	dissimilere	vblex
distansera	distansere	vblex
distrahera	distrahere	vblex
distribuera	distribuere	vblex
divergera	divergere	vblex
dividera	dividere	vblex
djupfrysa	dypfryse	vblex
djävlas	krangle	vblex_pasv
docera	dosere	vblex
docka	dokke	vblex
docka	dukke	vblex
dofta	ange	vblex_no-adjpp-pasv
dofta	dufte	vblex_no-adjpp-pasv
doktorera	doktorere	vblex
dokumentera	dokumentere	vblex
domdera	drønne	vblex_no-adjpp-pasv
domdera	dundre	vblex_no-adjpp-pasv
dominera	dominere	vblex
dona	arrangere	vblex_no-adjpp-pasv
dona	done	vblex_no-adjpp-pasv
dona	fli	vblex_no-adjpp-pasv
dona	make	vblex_no-adjpp-pasv
dona	ordne	vblex_no-adjpp-pasv
dona	stelle	vblex_no-adjpp-pasv
donera	donere	vblex
dopa	dope	vblex
doppa	dyppe	vblex
dosera	dosere	vblex
dra	dra	vblex
dra	trekke	vblex
dra	træ	vblex
dra_ihop	samle	vblex
dra_ihop	sanke	vblex
dra_åt	stramme	vblex
drabba	ramme	vblex
dramatisera	dramatisere	vblex
dratta	dratte	vblex
dravla	vase	vblex_no-adjpp-pasv
dravla	vrøvle	vblex_no-adjpp-pasv
dregla	savle	vblex_no-adjpp-pasv
dressera	dressere	vblex
dressera	trene	vblex
dribbla	drible	vblex
dricka	drikke	vblex
drilla	drille	vblex
driva	drive	vblex
driva	loffe	vblex
driva	reike	vblex
driva	reke	vblex
driva	valandere	vblex
droga	medisinere	vblex
droppa	dryppe	vblex
drulla	bumse	vblex_no-adjpp-pasv
drulla	dette	vblex_no-adjpp-pasv
drulla	falde	vblex_no-adjpp-pasv
drulla	stupe	vblex_no-adjpp-pasv
drulla	trulte	vblex_no-adjpp-pasv
drunkna	drukne	vblex
dryfta	diskutere	vblex
dryfta	drøfte	vblex
dryga_ut	dryge	vblex
drypa	dryppe	vblex_no-adjpp-pasv
drälla	daske	vblex_no-adjpp-pasv
drämma	slå	vblex
dränera	drene	vblex
dränera	drenere	vblex
dränka	drukne	vblex
dräpa	drepe	vblex
dröja	somle	vblex_no-adjpp-pasv
drömma	drømme	vblex
dua	dutte	vblex
dubba	dubbe	vblex
dubbla	doble	vblex
dubblera	doble	vblex
dubblera	fordoble	vblex
duga	duge	vblex_no-adjpp-pasv
dugga	duskregne	vblex_no-adjpp-pasv
duggregna	duskregne	vblex_no-adjpp-pasv
duka	dekke	vblex
duka	duke	vblex
dumpa	dumpe	vblex
dundra	dundre	vblex_no-adjpp-pasv
dundra	tordne	vblex_no-adjpp-pasv
dunka	dunke	vblex
dunsta	dunste	vblex
dupera	dupere	vblex
dupera	lure	vblex
duplicera	duplisere	vblex
dväljas	dvele	vblex_pasv
dyka	dykke	vblex_no-adjpp-pasv
dyrka	dyrke	vblex
dyrka	tilbe	vblex
dämma	demme	vblex
dämpa	dempe	vblex
dänga	slå	vblex
dåna	dåne	vblex
dåsa	dubbe	vblex_no-adjpp-pasv
dåsa	duse	vblex_no-adjpp-pasv
dö	daude	vblex_no-adjpp-pasv
dö	dø	vblex_no-adjpp-pasv
dö	dø	vblex_no-adjpp-pasv
döda	daude	vblex
