	lig	adj_sint
antikommunistisk	antikommunistisk	adj_sint
antroposofisk	antroposofisk	adj_sint
apokalyptisk	apokalyptisk	adj_sint
apokryfisk	apokryfisk	adj_sint
apostolisk	apostolisk	adj_sint
arabisk	arabisk	adj_sint
arisk	arisk	adj_sint
aristokratisk	aristokratisk	adj_sint
aritmetisk	aritmetisk	adj_sint
arkaisk	arkaisk	adj_sint
arkitektonisk	arkitektonisk	adj_sint
asketisk	asketisk	adj_sint
astronomisk	astronomisk	adj_sint
ateistisk	ateistisk	adj_sint
atlantisk	atlantisk	adj_sint
aztekisk	aztekisk	adj_sint
baltisk	baltisk	adj_sint
basisk	basisk	adj_sint
biografisk	biografisk	adj_sint
blasfemisk	blasfemisk	adj_sint
botanisk	botanisk	adj_sint
buddhistisk	buddhistisk	adj_sint
demografisk	demografisk	adj_sint
despotisk	despotisk	adj_sint
dialektisk	dialektisk	adj_sint
diktatorisk	diktatorisk	adj_sint
dogmatisk	dogmatisk	adj_sint
dualistisk	dualistisk	adj_sint
dynastisk	dynastisk	adj_sint
dyslektisk	dyslektisk	adj
eklektisk	eklektisk	adj_sint
elektromagnetisk	elektromagnetisk	adj_sint
elliptisk	elliptisk	adj_sint
empirisk	empirisk	adj_sint
endemisk	endemisk	adj_sint
episk	episk	adj_sint
esoterisk	esoterisk	adj_sint
etnografisk	etnografisk	adj_sint
etnologisk	etnologisk	adj_sint
etymologisk	etymologisk	adj_sint
evangelisk	evangelisk	adj_sint
fascistisk	fascistisk	adj_sint
filharmonisk	filharmonisk	adj_sint
fonetisk	fonetisk	adj_sint
fonologisk	fonologisk	adj_sint
fotoelektrisk	fotoelektrisk	adj_sint
fotografisk	fotografisk	adj_sint
futuristisk	futuristisk	adj_sint
fylogenetisk	fylogenetisk	adj_sint
gallisk	gallisk	adj_sint
gastronomisk	gastronomisk	adj_sint
generisk	generisk	adj_sint
geologisk	geologisk	adj_sint
geometrisk	geometrisk	adj_sint
georgisk	georgisk	adj_sint
ghanesisk	ghanesisk	adj_sint
gotisk	gotisk	adj_sint
grafisk	grafisk	adj_sint
haitisk	haitisk	adj_sint
hawaiisk	hawaiisk	adj_sint
hellenistisk	hellenistisk	adj_sint
helvetisk	helvetisk	adj_sint
heraldisk	heraldisk	adj_sint
hierarkisk	hierarkisk	adj_sint
hinduisk	hinduisk	adj_sint
hydrostatisk	hydrostatisk	adj_sint
hypotetisk	hypotetisk	adj_sint
iberisk	iberisk	adj_sint
idealistisk	idealistisk	adj_sint
ikonisk	ikonisk	adj_sint
indoeuropeisk	indoeuropeisk	adj_sint
irakisk	irakisk	adj_sint
jonisk	jonisk	adj_sint
journalistisk	journalistisk	adj_sint
jugoslavisk	jugoslavisk	adj_sint
kanonisk	kanonisk	adj_sint
kaotisk	kaotisk	adj_sint
karismatisk	karismatisk	adj_sint
keltisk	keltisk	adj_sint
keramisk	keramisk	adj
kinetisk	kinetisk	adj_sint
koptisk	koptisk	adj_sint
kosmisk	kosmisk	adj_sint
kosmopolitisk	kosmopolitisk	adj_sint
kronisk	kronisk	adj_sint
kronologisk	kronologisk	adj_sint
kulinarisk	kulinarisk	adj_sint
kyrillisk	kyrillisk	adj_sint
laotisk	laotisk	adj_sint
ligurisk	ligurisk	adj_sint
lingvistisk	lingvistisk	adj_sint
lyrisk	lyrisk	adj_sint
magnetisk	magnetisk	adj_sint
makroskopisk	makroskopisk	adj_sint
malawisk	malawisk	adj_sint
malaysisk	malaysisk	adj_sint
maorisk	maorisk	adj_sint
marxistisk	marxistisk	adj_sint
materialistisk	materialistisk	adj_sint
melodisk	melodisk	adj_sint
metaforisk	metaforisk	adj_sint
metallisk	metallisk	adj_sint
metodisk	metodisk	adj_sint
metrisk	metrisk	adj_sint
modernistisk	modernistisk	adj_sint
monarkisk	monarkisk	adj_sint
monokromatisk	monokromatisk	adj_sint
musisk	musisk	adj_sint
mytisk	mytisk	adj_sint
mytologisk	mytologisk	adj_sint
namibisk	namibisk	adj_sint
naturalistisk	naturalistisk	adj_sint
naturhistorisk	naturhistorisk	adj_sint
naurisk	naurisk	adj_sint
nazistisk	nazistisk	adj_sint
nihilistisk	nihilistisk	adj_sint
nomadisk	nomadisk	adj_sint
notorisk	notorisk	adj_sint
nubisk	nubisk	adj_sint
numerisk	numerisk	adj_sint
nyklassisk	nyklassisk	adj_sint
ostindisk	ostindisk	adj_sint
partipolitisk	partipolitisk	adj_sint
patriotisk	patriotisk	adj_sint
persisk	persisk	adj_sint
planetarisk	planetarisk	adj_sint
pluralistisk	pluralistisk	adj_sint
polynesisk	polynesisk	adj_sint
populistisk	populistisk	adj_sint
prehistorisk	prehistorisk	adj_sint
profetisk	profetisk	adj_sint
programmatisk	programmatisk	adj_sint
punisk	punisk	adj_sint
rasistisk	rasistisk	adj_sint
relativistisk	relativistisk	adj_sint
retorisk	retorisk	adj_sint
rojalistisk	rojalistisk	adj_sint
satirisk	satirisk	adj_sint
saudisk	saudisk	adj_sint
scenisk	scenisk	adj_sint
semantisk	semantisk	adj_sint
singalesisk	singalesisk	adj_sint
slavisk	slavisk	adj_sint
stalinistisk	stalinistisk	adj_sint
statisk	statisk	adj_sint
stilistisk	stilistisk	adj_sint
stokastisk	stokastisk	adj_sint
subtropisk	subtropisk	adj_sint
symfonisk	symfonisk	adj_sint
synoptisk	synoptisk	adj_sint
syntetisk	syntetisk	adj_sint
syrisk	syrisk	adj_sint
tematisk	tematisk	adj_sint
testamentarisk	testamentarisk	adj_sint
tidstypisk	tidstypisk	adj_sint
topografisk	topografisk	adj_sint
topologisk	topologisk	adj_sint
ugandisk	ugandisk	adj_sint
underjordisk	underjordisk	adj_sint
utopisk	utopisk	adj_sint
vedisk	vedisk	adj_sint
vietnamesisk	vietnamesisk	adj_sint
zoologisk	zoologisk	adj_sint
aktiv	aktiv	adj_sint
aktuell	aktuell	adj_sint
akustisk	akustisk	adj_sint
akut	akutt	adj_sint
alert	oppmerksom	adj_sint
alldaglig	daglig	adj_sint
alldaglig	dagligdags	adj_sint
alliansfri	alliansefri	adj_sint
allmän	allmenn	adj_sint
allmän	generell	adj_sint
allsidig	allsidig	adj_sint
allvarlig	alvorlig	adj_sint
allvarlig	seriøs	adj_sint
alternativ	alternativ	adj_sint
ambitiös	ambisiøs	adj_sint
amerikansk	amerikansk	adj_sint
analog	analog	adj_sint
sentida	senere_tids	adj
nutida	nåtidig	adj
medeltida	middelaldersk	adj
oförklarad	uforklart	adj
betydande	betydelig	adj
angenäm	behagelig	adj_sint
annorlunda	annerledes	adj
annuell	årlig	adj_sint
anonym	anonym	adj_sint
anormal	unormal	adj_sint
ansenlig	anselig	adj_sint
anspråksfull	kravstor	adj_sint
anspråksfull	krevende	adj_sint
anständig	anstendig	adj_sint
ansvarig	ansvarlig	adj_sint
ansvarsfull	ansvarlig	adj_sint
antaglig	antakelig	adj_sint
antarktisk	antarktisk	adj_sint
arbetsam	anstrengende	adj_sint
arbetsam	arbeidsom	adj_sint
arbetsam	flittig	adj_sint
arbetslös	arbeidsledig	adj_sint
arbetslös	arbeidsløs	adj_sint
arkeologisk	arkeologisk	adj_sint
arktisk	arktisk	adj_sint
artistisk	artistisk	adj_sint
artistisk	kunstnerisk	adj_sint
asiatisk	asiatisk	adj_sint
atletisk	atletisk	adj_sint
attraktiv	attraktiv	adj_sint
australisk	australsk	adj_sint
autentisk	autentisk	adj_sint
automatisk	automatisk	adj_sint
avdöd	avdød	adj_sint
avgörande	avgjørende	adj
avlägsen	fjern	adj_sint
avlång	avlang	adj_sint
avsevärd	betydelig	adj_sint
avsevärd	påtagelig	adj_sint
avsevärd	påtakelig	adj_sint
avsiktlig	forsettlig	adj_sint
avvikande	avvikende	adj
smart	lur	adj_sint
bakslug	lur	adj_sint
banal	banal	adj_sint
bar	bar	adj_sint
barbarisk	barbarisk	adj_sint
barsk	barsk	adj_sint
baskisk	baskisk	adj_sint
befolkad	befolket	adj
begriplig	begripelig	adj_sint
begriplig	fattelig	adj_sint
begriplig	forståelig	adj_sint
behaglig	behagelig	adj_sint
behändig	praktisk	adj_sint
behörig	behørig	adj_sint
behövlig	nødvendig	adj_sint
beklaglig	beklagelig	adj_sint
bekväm	bekvem	adj_sint
belgisk	belgisk	adj_sint
benfri	beinfri	adj_sint
benfri	benfri	adj_sint
benhård	beinhard	adj_sint
benhård	benhard	adj_sint
beredvillig	beredvillig	adj_sint
beroende	avhengig	adj
bestämd	bestemt	adj_sint
beständig	bestandig	adj_sint
besviken	skuffet	adj_sint
betrodd	betrodd	adj_sint
betydelsefull	betydningsfull	adj_sint
betydlig	betydelig	adj_sint
betydlig	påtagelig	adj_sint
betydlig	påtakelig	adj_sint
biblisk	bibelsk	adj_sint
bilfri	bilfri	adj_sint
billig	billig	adj_sint
biologisk	biologisk	adj_sint
bister	bister	adj_sint
bitter	bitter	adj_sint
blank	blank	adj_sint
blid	blid	adj_sint
blind	blind	adj_sint
blond	blond	adj_sint
blyfri	blyfri	adj_sint
blygsam	beskjeden	adj_sint
bländfri	blendfri	adj_sint
blå	blå	adj_sint
bokstavlig	bokstavelig	adj_sint
borgerlig	borgerlig	adj_sint
bortrest	bortreist	adj_sint
bortskämd	bortskjemt	adj_sint
bosnisk	bosnisk	adj_sint
brandfarlig	brannfarlig	adj_sint
brasiliansk	brasiliansk	adj_sint
bred	bred	adj_sint
bristfällig	mangelfull	adj_sint
brittisk	britisk	adj_sint
